======================================================================
MM-UAVBench 图像任务评测报告（多模型 × 多任务，零样本 MCQ）
======================================================================
生成时间: 2026-03-04 05:53:19
设备: cuda
每任务样本数: 全部
任务数: 19
模型数: 11
轮数: 3 (取平均)

----------------------------------------------------------------------
模型: qwen2vl_2b  (Qwen2-VL-2B-Instruct (Qwen))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 141/239  准确率: 59.0%
  [Orientation_Classification] 正确: 136/739  准确率: 18.4%
  [Environment_State_Classification] 正确: 218/323  准确率: 67.5%
  [Urban_OCR] 正确: 135/320  准确率: 42.2%
  [Class_Agnostic_Counting] 正确: 70/330  准确率: 21.3%
  [Referring_Expression_Counting] 正确: 85/350  准确率: 24.4%
  [Target_Backtracking] 正确: 50/118  准确率: 42.7%
  [Cross_Object_Reasoning] 正确: 80/172  准确率: 46.7%
  [Intent_Analysis_and_Prediction] 正确: 138/310  准确率: 44.6%
  [Scene_Attribute_Understanding] 正确: 141/277  准确率: 50.9%
  [Scene_Damage_Assessment] 正确: 100/350  准确率: 28.5%
  [Scene_Analysis_and_Prediction] 正确: 71/207  准确率: 34.3%
  [Temporal_Ordering] 正确: 101/350  准确率: 28.9%
  [Ground_Target_Planning] 正确: 117/325  准确率: 36.1%
  [Air_Ground_Collaborative_Planning] 正确: 68/208  准确率: 32.9%
  [Swarm_Collaborative_Planning] 正确: 74/293  准确率: 25.1%
  [Event_Prediction] 正确: 140/247  准确率: 56.8%
  [Event_Tracing] 正确: 141/243  准确率: 57.9%
  [Event_Understanding] 正确: 178/301  准确率: 59.0%
  >> 总体: 2184/5702  平均准确率: 38.3%

----------------------------------------------------------------------
模型: internvl3_5_38b  (InternVL3.5-38B (OpenGVLab))
----------------------------------------------------------------------
  [Scene_Classification] 正确: 60/239  准确率: 25.1%
  [Orientation_Classification] 正确: 167/739  准确率: 22.6%
  [Environment_State_Classification] 正确: 88/323  准确率: 27.2%
  [Urban_OCR] 正确: 135/320  准确率: 42.2%
